epoch,train_loss,train_acc,val_loss,val_acc
1,0.9324384975318726,0.6384615384615384,1.9166925337165595,0.3
2,0.8030012675883391,0.6673076923076923,1.8533518390730024,0.35
3,0.6358241729187564,0.7576923076923077,2.233299061469734,0.35
4,0.5653844029732191,0.7942307692307692,2.1603017267538234,0.4
5,0.5161892379526622,0.8115384615384615,2.7066197826410643,0.4
6,0.4811884538969025,0.8307692307692308,3.3300328606041147,0.25
7,0.5125874964045719,0.8288461538461539,2.044488248313428,0.45
8,0.40282952242727893,0.8538461538461538,2.813693525333656,0.3
9,0.33588340802995775,0.8961538461538462,1.9406453698116821,0.25
10,0.33608504984877074,0.8961538461538462,2.7623496865300696,0.4
11,0.33156230935329895,0.8865384615384615,2.7000759322723753,0.5
12,0.28213425062444564,0.9096153846153846,1.9927826143451965,0.4
13,0.23130617584639157,0.9326923076923077,3.1480800093937433,0.2
14,0.3113332619026411,0.8961538461538462,2.1424525624490345,0.4
15,0.23344626176806813,0.9173076923076923,2.628893027919548,0.4
16,0.23521476146997883,0.9192307692307692,2.876590001907607,0.35
17,0.20401781628651616,0.9365384615384615,2.867624385259114,0.25
18,0.21570389279647945,0.9288461538461539,2.613582866481738,0.35
19,0.2817912556616088,0.9057692307692308,4.091750506137032,0.25
20,0.17726379121640304,0.9403846153846154,2.2000667946227623,0.4
