epoch,train_loss,train_acc,val_loss,val_acc
1,1.0174369621180142,0.6173076923076923,1.9757616266608238,0.25
2,0.9915340041025327,0.6307692307692307,1.9784427523612975,0.25
3,0.9472888867155864,0.6423076923076924,2.2376875221729278,0.2
4,0.8924633823335171,0.6596153846153846,2.173637917637825,0.25
5,0.8220764064230025,0.6615384615384615,2.161822374165058,0.25
6,0.7623808078682767,0.6903846153846154,2.3220831797458232,0.25
7,0.6971935081385219,0.7076923076923077,1.6900307145202533,0.25
8,0.6280831712242126,0.7288461538461538,1.8190899396315217,0.25
9,0.5918497082848961,0.7673076923076924,1.3546190342560294,0.5
10,0.5520414922101526,0.801923076923077,1.2075259084966092,0.7
11,0.48166391943814235,0.8192307692307692,1.1648594044265337,0.3
12,0.4579114061004545,0.8096153846153846,1.232161999840173,0.7
13,0.4681364561554661,0.8288461538461539,1.0579255233416915,0.7
14,0.39542896068833217,0.85,1.1215923395697245,0.7
15,0.38929040905859436,0.8673076923076923,1.359285832939031,0.55
16,0.36054149765889004,0.875,0.9910829739412292,0.65
17,0.29886615755881746,0.9038461538461539,0.9945164686010685,0.6
18,0.28444449208447903,0.9019230769230769,1.6328093703794366,0.5
19,0.2747395371613563,0.9038461538461539,0.7282828283263371,0.75
20,0.2823974652985271,0.9076923076923077,0.8207549139857292,0.65
