epoch,train_loss,train_acc,val_loss,val_acc
1,0.9934533529429106,0.6288461538461538,1.9130276548326948,0.25
2,0.831768067216035,0.6480769230769231,1.8926098456859108,0.45
3,0.6122412841571182,0.7711538461538462,1.0918665165358103,0.55
4,0.5917473854336025,0.7576923076923077,1.0176948972613815,0.65
5,0.48890426518952995,0.8192307692307692,1.0676484122610415,0.65
6,0.4589410654899089,0.8269230769230769,0.9088911206344846,0.7
7,0.42656417112457345,0.8442307692307692,0.952825297410891,0.7
8,0.4033746053666269,0.8615384615384616,0.9499556516402038,0.6
9,0.3606557156129786,0.8826923076923077,3.4532290095732607,0.25
10,0.3899466670233149,0.8538461538461538,0.8943506443389196,0.65
11,0.3006273090133828,0.8961538461538462,1.0538383418597732,0.7
12,0.2966720845821853,0.8961538461538462,1.1290075539699616,0.6
13,0.306755803568404,0.9115384615384615,1.1915532244133828,0.7
14,0.25917558146505215,0.9134615384615384,1.2552988791791904,0.65
15,0.26108515736547744,0.925,0.8533788361201005,0.7
16,0.25739876298195424,0.9173076923076923,1.253455788588667,0.55
17,0.23806263417353385,0.9230769230769231,1.0895364461758956,0.7
18,0.1725036109759285,0.95,1.2997313544906093,0.65
19,0.26708512152712593,0.9076923076923077,1.0015981282364006,0.65
20,0.2052866237064834,0.9365384615384615,1.5102348821581473,0.55
