epoch,train_loss,train_acc,val_loss,val_acc
1,0.8455743189123146,0.6807692307692308,1.4767762490257155,0.4
2,0.5743179222289585,0.7865384615384615,1.1608532750032676,0.4
3,0.4992708755902466,0.8211538461538461,1.0875658786289932,0.65
4,0.44229985886835005,0.823076923076923,1.2176192499405716,0.45
5,0.38175650890383656,0.875,0.6519533542270878,0.75
6,0.32599224110649105,0.8903846153846153,0.7244149756617844,0.7
7,0.2640316958133903,0.9115384615384615,0.8590659252316982,0.8
8,0.2404670308467821,0.9211538461538461,1.1934685341760083,0.5
9,0.31065613497309374,0.8884615384615384,0.9265373606959884,0.65
10,0.23524035683179206,0.9173076923076923,1.0604515568434636,0.7
11,0.20677446378445816,0.9384615384615385,0.8889094331914749,0.55
12,0.21203177112950716,0.9288461538461539,0.6403658101706128,0.85
13,0.2205145048891871,0.9211538461538461,0.9267380599805616,0.7
14,0.1662502126487674,0.9403846153846154,0.7654666313202967,0.7
15,0.17729354652928836,0.9403846153846154,0.5957787941176601,0.75
16,0.18414472954515063,0.9346153846153846,0.8778260023494326,0.65
17,0.15996355147772062,0.9461538461538461,1.3787468257272617,0.5
18,0.12967473590447756,0.9557692307692308,0.5034059099812112,0.85
19,0.09745820884106078,0.9711538461538461,0.9861226383196293,0.85
20,0.1481431627586661,0.9384615384615385,0.5910164862230658,0.8
